xPair,darkrgb,darkcolorIndex,lightrgb,lightcolorIndex,diffLighting,lightL,lightA,lightB,darkL,darkA,darkB,lightAssoc,darkAssoc,diffRating
160,#b62ef2,3,#b9b9b9,27,25,75,0,0,50,78.822,-70.972,0.078421053,0.077039474,0.001381579
1600,#f1a78a,47,#eddcad,44,13,88,-1.3084,24.966,75,23.657,26.274,0.258815789,0.196644737,0.062171053
1601,#c94e4b,48,#eddcad,44,38,88,-1.3084,24.966,50,48.623,27.583,0.258815789,0.330723684,-0.071907895
1602,#e81a4b,49,#eddcad,44,38,88,-1.3084,24.966,50,73.589,28.891,0.258815789,0.148552632,0.110263158
1603,#0e8a19,50,#eddcad,44,38,88,-1.3084,24.966,50,-52.548,47.315,0.258815789,0.930592105,-0.671776316
1604,#67cf5c,51,#eddcad,44,13,88,-1.3084,24.966,75,-52.548,47.315,0.258815789,0.775460526,-0.516644737
1605,#608218,53,#eddcad,44,38,88,-1.3084,24.966,50,-27.583,48.623,0.258815789,0.874013158,-0.615197368
1606,#a3c55b,54,#eddcad,44,13,88,-1.3084,24.966,75,-27.583,48.623,0.258815789,0.671710526,-0.412894737
1607,#897618,56,#eddcad,44,38,88,-1.3084,24.966,50,-2.6168,49.931,0.258815789,0.592039474,-0.333223684
1608,#d0b85a,57,#eddcad,44,13,88,-1.3084,24.966,75,-2.6168,49.931,0.258815789,0.500592105,-0.241776316
1609,#ac6619,59,#eddcad,44,38,88,-1.3084,24.966,50,22.349,51.24,0.258815789,0.549539474,-0.290723684
161,#b62ef2,3,#ffffff,28,50,100,0,0,50,78.822,-70.972,0.081052632,0.077039474,0.004013158
1610,#f7a75a,60,#eddcad,44,13,88,-1.3084,24.966,75,22.349,51.24,0.258815789,0.41,-0.151184211
1611,#cc4f1b,61,#eddcad,44,38,88,-1.3084,24.966,50,47.315,52.548,0.258815789,0.517828947,-0.259013158
1612,#ea1d1d,62,#eddcad,44,38,88,-1.3084,24.966,50,72.28,53.857,0.258815789,0.271315789,-0.0125
1613,#73cf10,64,#eddcad,44,13,88,-1.3084,24.966,75,-53.857,72.28,0.258815789,0.761710526,-0.502894737
1614,#aac510,66,#eddcad,44,13,88,-1.3084,24.966,75,-28.891,73.589,0.258815789,0.634407895,-0.375592105
1615,#d5b811,68,#eddcad,44,13,88,-1.3084,24.966,75,-3.9252,74.897,0.258815789,0.521578947,-0.262763158
1616,#fba714,70,#eddcad,44,13,88,-1.3084,24.966,75,21.041,76.206,0.258815789,0.483815789,-0.225
1617,#632b14,45,#a8664b,46,25,50,23.657,26.274,25,23.657,26.274,0.4825,0.510394737,-0.027894737
1618,#632b14,45,#f1a78a,47,50,75,23.657,26.274,25,23.657,26.274,0.196644737,0.510394737,-0.31375
1619,#632b14,45,#c94e4b,48,25,50,48.623,27.583,25,23.657,26.274,0.330723684,0.510394737,-0.179671053
162,#b62ef2,3,#dddddd,29,38,88,0,0,50,78.822,-70.972,0.098815789,0.077039474,0.021776316
1620,#632b14,45,#e81a4b,49,25,50,73.589,28.891,25,23.657,26.274,0.148552632,0.510394737,-0.361842105
1621,#632b14,45,#0e8a19,50,25,50,-52.548,47.315,25,23.657,26.274,0.930592105,0.510394737,0.420197368
1622,#632b14,45,#67cf5c,51,50,75,-52.548,47.315,25,23.657,26.274,0.775460526,0.510394737,0.265065789
1623,#632b14,45,#8cf47e,52,63,88,-52.548,47.315,25,23.657,26.274,0.635,0.510394737,0.124605263
1624,#632b14,45,#608218,53,25,50,-27.583,48.623,25,23.657,26.274,0.874013158,0.510394737,0.363618421
1625,#632b14,45,#a3c55b,54,50,75,-27.583,48.623,25,23.657,26.274,0.671710526,0.510394737,0.161315789
1626,#632b14,45,#c8e97d,55,63,88,-27.583,48.623,25,23.657,26.274,0.476447368,0.510394737,-0.033947368
1627,#632b14,45,#897618,56,25,50,-2.6168,49.931,25,23.657,26.274,0.592039474,0.510394737,0.081644737
1628,#632b14,45,#d0b85a,57,50,75,-2.6168,49.931,25,23.657,26.274,0.500592105,0.510394737,-0.009802632
1629,#632b14,45,#f7db7c,58,63,88,-2.6168,49.931,25,23.657,26.274,0.380789474,0.510394737,-0.129605263
163,#5e2b3a,30,#b62ef2,3,25,50,78.822,-70.972,25,24.966,1.3084,0.077039474,0.290394737,-0.213355263
1630,#632b14,45,#ac6619,59,25,50,22.349,51.24,25,23.657,26.274,0.549539474,0.510394737,0.039144737
1631,#632b14,45,#f7a75a,60,50,75,22.349,51.24,25,23.657,26.274,0.41,0.510394737,-0.100394737
1632,#632b14,45,#cc4f1b,61,25,50,47.315,52.548,25,23.657,26.274,0.517828947,0.510394737,0.007434211
1633,#632b14,45,#ea1d1d,62,25,50,72.28,53.857,25,23.657,26.274,0.271315789,0.510394737,-0.239078947
1634,#632b14,45,#3efe44,63,63,88,-78.822,70.972,25,23.657,26.274,0.682302632,0.510394737,0.171907895
1635,#632b14,45,#73cf10,64,50,75,-53.857,72.28,25,23.657,26.274,0.761710526,0.510394737,0.251315789
1636,#632b14,45,#9af443,65,63,88,-53.857,72.28,25,23.657,26.274,0.616710526,0.510394737,0.106315789
1637,#632b14,45,#aac510,66,50,75,-28.891,73.589,25,23.657,26.274,0.634407895,0.510394737,0.124013158
1638,#632b14,45,#d0e942,67,63,88,-28.891,73.589,25,23.657,26.274,0.516184211,0.510394737,0.005789474
1639,#632b14,45,#d5b811,68,50,75,-3.9252,74.897,25,23.657,26.274,0.521578947,0.510394737,0.011184211
164,#b62ef2,3,#e6a8b7,32,25,75,24.966,1.3084,50,78.822,-70.972,0.171118421,0.077039474,0.094078947
1640,#632b14,45,#fcdb42,69,63,88,-3.9252,74.897,25,23.657,26.274,0.492105263,0.510394737,-0.018289474
1641,#632b14,45,#fba714,70,50,75,21.041,76.206,25,23.657,26.274,0.483815789,0.510394737,-0.026578947
1642,#a8664b,46,#f1a78a,47,25,75,23.657,26.274,50,23.657,26.274,0.196644737,0.4825,-0.285855263
1643,#a8664b,46,#67cf5c,51,25,75,-52.548,47.315,50,23.657,26.274,0.775460526,0.4825,0.292960526
1644,#a8664b,46,#8cf47e,52,38,88,-52.548,47.315,50,23.657,26.274,0.635,0.4825,0.1525
1645,#a8664b,46,#a3c55b,54,25,75,-27.583,48.623,50,23.657,26.274,0.671710526,0.4825,0.189210526
1646,#a8664b,46,#c8e97d,55,38,88,-27.583,48.623,50,23.657,26.274,0.476447368,0.4825,-0.006052632
1647,#a8664b,46,#d0b85a,57,25,75,-2.6168,49.931,50,23.657,26.274,0.500592105,0.4825,0.018092105
1648,#a8664b,46,#f7db7c,58,38,88,-2.6168,49.931,50,23.657,26.274,0.380789474,0.4825,-0.101710526
1649,#a8664b,46,#f7a75a,60,25,75,22.349,51.24,50,23.657,26.274,0.41,0.4825,-0.0725
165,#b62ef2,3,#4bcf8e,35,25,75,-51.24,22.349,50,78.822,-70.972,0.521907895,0.077039474,0.444868421
1650,#a8664b,46,#3efe44,63,38,88,-78.822,70.972,50,23.657,26.274,0.682302632,0.4825,0.199802632
1651,#a8664b,46,#73cf10,64,25,75,-53.857,72.28,50,23.657,26.274,0.761710526,0.4825,0.279210526
1652,#a8664b,46,#9af443,65,38,88,-53.857,72.28,50,23.657,26.274,0.616710526,0.4825,0.134210526
1653,#a8664b,46,#aac510,66,25,75,-28.891,73.589,50,23.657,26.274,0.634407895,0.4825,0.151907895
1654,#a8664b,46,#d0e942,67,38,88,-28.891,73.589,50,23.657,26.274,0.516184211,0.4825,0.033684211
1655,#a8664b,46,#d5b811,68,25,75,-3.9252,74.897,50,23.657,26.274,0.521578947,0.4825,0.039078947
1656,#a8664b,46,#fcdb42,69,38,88,-3.9252,74.897,50,23.657,26.274,0.492105263,0.4825,0.009605263
1657,#a8664b,46,#fba714,70,25,75,21.041,76.206,50,23.657,26.274,0.483815789,0.4825,0.001315789
1658,#c94e4b,48,#f1a78a,47,25,75,23.657,26.274,50,48.623,27.583,0.196644737,0.330723684,-0.134078947
1659,#e81a4b,49,#f1a78a,47,25,75,23.657,26.274,50,73.589,28.891,0.196644737,0.148552632,0.048092105
166,#b62ef2,3,#73f5b0,36,38,88,-51.24,22.349,50,78.822,-70.972,0.397434211,0.077039474,0.320394737
1660,#0e8a19,50,#f1a78a,47,25,75,23.657,26.274,50,-52.548,47.315,0.196644737,0.930592105,-0.733947368
1661,#f1a78a,47,#8cf47e,52,13,88,-52.548,47.315,75,23.657,26.274,0.635,0.196644737,0.438355263
1662,#608218,53,#f1a78a,47,25,75,23.657,26.274,50,-27.583,48.623,0.196644737,0.874013158,-0.677368421
1663,#f1a78a,47,#c8e97d,55,13,88,-27.583,48.623,75,23.657,26.274,0.476447368,0.196644737,0.279802632
1664,#897618,56,#f1a78a,47,25,75,23.657,26.274,50,-2.6168,49.931,0.196644737,0.592039474,-0.395394737
1665,#f1a78a,47,#f7db7c,58,13,88,-2.6168,49.931,75,23.657,26.274,0.380789474,0.196644737,0.184144737
1666,#ac6619,59,#f1a78a,47,25,75,23.657,26.274,50,22.349,51.24,0.196644737,0.549539474,-0.352894737
1667,#cc4f1b,61,#f1a78a,47,25,75,23.657,26.274,50,47.315,52.548,0.196644737,0.517828947,-0.321184211
1668,#ea1d1d,62,#f1a78a,47,25,75,23.657,26.274,50,72.28,53.857,0.196644737,0.271315789,-0.074671053
1669,#f1a78a,47,#3efe44,63,13,88,-78.822,70.972,75,23.657,26.274,0.682302632,0.196644737,0.485657895
167,#184415,37,#b62ef2,3,25,50,78.822,-70.972,25,-26.274,23.657,0.077039474,0.957763158,-0.880723684
1670,#f1a78a,47,#9af443,65,13,88,-53.857,72.28,75,23.657,26.274,0.616710526,0.196644737,0.420065789
1671,#f1a78a,47,#d0e942,67,13,88,-28.891,73.589,75,23.657,26.274,0.516184211,0.196644737,0.319539474
1672,#f1a78a,47,#fcdb42,69,13,88,-3.9252,74.897,75,23.657,26.274,0.492105263,0.196644737,0.295460526
1673,#c94e4b,48,#67cf5c,51,25,75,-52.548,47.315,50,48.623,27.583,0.775460526,0.330723684,0.444736842
1674,#c94e4b,48,#8cf47e,52,38,88,-52.548,47.315,50,48.623,27.583,0.635,0.330723684,0.304276316
1675,#c94e4b,48,#a3c55b,54,25,75,-27.583,48.623,50,48.623,27.583,0.671710526,0.330723684,0.340986842
1676,#c94e4b,48,#c8e97d,55,38,88,-27.583,48.623,50,48.623,27.583,0.476447368,0.330723684,0.145723684
1677,#c94e4b,48,#d0b85a,57,25,75,-2.6168,49.931,50,48.623,27.583,0.500592105,0.330723684,0.169868421
1678,#c94e4b,48,#f7db7c,58,38,88,-2.6168,49.931,50,48.623,27.583,0.380789474,0.330723684,0.050065789
1679,#c94e4b,48,#f7a75a,60,25,75,22.349,51.24,50,48.623,27.583,0.41,0.330723684,0.079276316
168,#b62ef2,3,#96c58c,39,25,75,-26.274,23.657,50,78.822,-70.972,0.555789474,0.077039474,0.47875
1680,#c94e4b,48,#3efe44,63,38,88,-78.822,70.972,50,48.623,27.583,0.682302632,0.330723684,0.351578947
1681,#c94e4b,48,#73cf10,64,25,75,-53.857,72.28,50,48.623,27.583,0.761710526,0.330723684,0.430986842
1682,#c94e4b,48,#9af443,65,38,88,-53.857,72.28,50,48.623,27.583,0.616710526,0.330723684,0.285986842
1683,#c94e4b,48,#aac510,66,25,75,-28.891,73.589,50,48.623,27.583,0.634407895,0.330723684,0.303684211
1684,#c94e4b,48,#d0e942,67,38,88,-28.891,73.589,50,48.623,27.583,0.516184211,0.330723684,0.185460526
1685,#c94e4b,48,#d5b811,68,25,75,-3.9252,74.897,50,48.623,27.583,0.521578947,0.330723684,0.190855263
1686,#c94e4b,48,#fcdb42,69,38,88,-3.9252,74.897,50,48.623,27.583,0.492105263,0.330723684,0.161381579
1687,#c94e4b,48,#fba714,70,25,75,21.041,76.206,50,48.623,27.583,0.483815789,0.330723684,0.153092105
1688,#e81a4b,49,#67cf5c,51,25,75,-52.548,47.315,50,73.589,28.891,0.775460526,0.148552632,0.626907895
1689,#e81a4b,49,#8cf47e,52,38,88,-52.548,47.315,50,73.589,28.891,0.635,0.148552632,0.486447368
169,#b62ef2,3,#baeaaf,40,38,88,-26.274,23.657,50,78.822,-70.972,0.465986842,0.077039474,0.388947368
1690,#e81a4b,49,#a3c55b,54,25,75,-27.583,48.623,50,73.589,28.891,0.671710526,0.148552632,0.523157895
1691,#e81a4b,49,#c8e97d,55,38,88,-27.583,48.623,50,73.589,28.891,0.476447368,0.148552632,0.327894737
1692,#e81a4b,49,#d0b85a,57,25,75,-2.6168,49.931,50,73.589,28.891,0.500592105,0.148552632,0.352039474
1693,#e81a4b,49,#f7db7c,58,38,88,-2.6168,49.931,50,73.589,28.891,0.380789474,0.148552632,0.232236842
1694,#e81a4b,49,#f7a75a,60,25,75,22.349,51.24,50,73.589,28.891,0.41,0.148552632,0.261447368
