"","concept","xPair","uxPair","keep_all","expID","subjectID","conditionProto","stimulus","prompt","key_press","darkSide","colorScale","colormap","darkSide2","sidePress","selectDark","X","Var1","darkrgb","darkAssoc_lot","darkAssoc_no","lightrgb","lightAssoc_lot","lightAssoc_no","plotID","rsquare","diffRating","darkAssoc","lightAssoc","diffLighting","darkL","darkA","darkB","lightL","lightA","lightB","SemDist","signSemDist","meanAssocDiff"
"66","fire",103,4,FALSE,1,"19440",43,"img/fire_1_left_3.png","wild fire",39,0,1,3,1,0,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"67","fire",103,4,FALSE,1,"10504",43,"img/fire_1_left_4.png","wild fire",39,0,1,4,1,0,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"68","fire",103,4,FALSE,1,"18148",43,"img/fire_1_right_1.png","wild fire",37,1,1,1,0,1,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"69","fire",103,4,FALSE,1,"15729",43,"img/fire_1_right_2.png","wild fire",37,1,1,2,0,1,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"70","fire",103,4,FALSE,1,"16760",43,"img/fire_1_right_1.png","wild fire",37,1,1,1,0,1,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"71","fire",103,4,FALSE,1,"15916",43,"img/fire_1_right_3.png","wild fire",37,1,1,3,0,1,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"72","fire",103,4,FALSE,1,"17988",43,"img/fire_1_left_2.png","wild fire",39,0,1,2,1,0,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"73","fire",103,4,FALSE,1,"14226",43,"img/fire_1_left_4.png","wild fire",37,0,1,4,1,1,1,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"74","fire",103,4,FALSE,1,"11235",43,"img/fire_1_left_2.png","wild fire",37,0,1,2,1,1,1,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
"75","fire",103,4,FALSE,1,"18531",43,"img/fire_1_left_3.png","wild fire",39,0,1,3,1,0,0,27,6,"#3518ad",0.179083333333333,0.77175,"#fba714",0.691333333333333,0.277916666666667,1,0.84,0.737434211,0.054605263,0.792039474,50,25,53.857,-72.28,75,21.041,76.206,0.946559200998549,-0.946559200998549,0.737434211
