subjectID,xPair,colorPair,concept,lightrgb,lightcolor_index,darkrgb,dark_colorIndex,sdDarkness,meanDarkness,seDarkness,meanPropDark,semDistAssocSSNorm,seDark,assocOuter1,assocOuter2,assocInner1,assocInner2,semDistAssocWeightm1,darkSideWeightm1,comboSign,Outer1m1c,Outer2m1c,Inner1m1c,Inner2m1c,semDistComboM1,semDistComboSign,darkSideWeight,lineX,se1
14159,1638,51,fire,#d0e942,67,#632b14,45,0.284065537,0.643125,0.142032768,0.745454545,0.7526,0.132365634,0.639333333,0.665583333,0.302083333,0.29725,1,0,1,0.639333333,0.665583333,0.302083333,0.29725,0.751421238,0.751421238,0,0.490909091,0.067866579
14159,1638,51,fire,#d0e942,67,#632b14,45,0.284065537,0.643125,0.142032768,0.745454545,0.7526,0.132365634,0.639333333,0.665583333,0.302083333,0.29725,0,1,1,0.643125,0.643125,0,0,0.993121919,0.993121919,1,0.490909091,0.252217725
17735,1646,52,water,#c8e97d,55,#a8664b,46,0.132953234,0.268125,0.066476617,0.727272727,0.4893,0.134901249,0.181333333,0.53675,0.3025,0.780583333,0.7,0.3,-1,0.207370833,0.4561625,0.21175,0.546408333,-0.12733226,-0.12733226,0.3,0.454545455,0.338581675
17735,1646,52,water,#c8e97d,55,#a8664b,46,0.132953234,0.268125,0.066476617,0.727272727,0.4893,0.134901249,0.181333333,0.53675,0.3025,0.780583333,0,1,1,0.268125,0.268125,0,0,0.805360758,0.805360758,1,0.454545455,0.123071377
17735,1646,52,water,#c8e97d,55,#a8664b,46,0.132953234,0.268125,0.066476617,0.727272727,0.4893,0.134901249,0.181333333,0.53675,0.3025,0.780583333,1,0,-1,0.181333333,0.53675,0.3025,0.780583333,-0.488488352,-0.488488352,0,0.454545455,0.889312761
16173,1674,53,fire,#8cf47e,52,#c94e4b,48,0.108615818,0.284375,0.054307909,0.97,0.9321,0.021343747,0.702166667,0.7545,0.161583333,0.327416667,0.7,0.3,1,0.576829167,0.6134625,0.113108333,0.229191667,0.873550871,0.873550871,0.3,0.94,0.004415487
16173,1674,53,fire,#8cf47e,52,#c94e4b,48,0.108615818,0.284375,0.054307909,0.97,0.9321,0.021343747,0.702166667,0.7545,0.161583333,0.327416667,1,0,1,0.702166667,0.7545,0.161583333,0.327416667,0.930603063,0.930603063,0,0.94,8.83E-05
16173,1674,53,fire,#8cf47e,52,#c94e4b,48,0.108615818,0.284375,0.054307909,0.97,0.9321,0.021343747,0.702166667,0.7545,0.161583333,0.327416667,0,1,1,0.284375,0.284375,0,0,0.81710939,0.81710939,1,0.94,0.015102102
19373,1776,54,water,#f7db7c,58,#897618,56,0.217489224,0.824375,0.108744612,1,0.0597,0,0.123666667,0.705583333,0.193666667,0.673,0,1,1,0.824375,0.824375,0,0,0.999999751,0.999999751,1,1,6.22E-14
19373,1776,54,water,#f7db7c,58,#897618,56,0.217489224,0.824375,0.108744612,1,0.0597,0,0.123666667,0.705583333,0.193666667,0.673,0.7,0.3,1,0.333879167,0.741220833,0.135566667,0.4711,0.594096753,0.594096753,0.3,1,0.164757446
19373,1776,54,water,#f7db7c,58,#897618,56,0.217489224,0.824375,0.108744612,1,0.0597,0,0.123666667,0.705583333,0.193666667,0.673,1,0,-1,0.123666667,0.705583333,0.193666667,0.673,-0.059614223,-0.059614223,0,1,1.122782302
17063,1784,55,fire,#fcdb42,69,#897618,56,0.140540252,0.884375,0.070270126,0.65,-0.2509,0.15,0.463,0.336083333,0.577166667,0.437083333,0,1,1,0.884375,0.884375,0,0,1,1,1,0.3,0.49
